year,soc,desc,jobs,median,mean,p10,p20,p25,p30,p40,p60,p70,p75,p80,p90,basis
2014,1115,Chief executives and senior officials,74.0,41.65,47.64,16.25,22.92,25.57,28.77,33.69,46.31,53.11,57.63,63.6,,SOC10
2014,1116,Elected officers and representatives,4.0,,12.57,,,,7.8,8.07,,,,,,SOC10
2014,1121,Production managers and directors in manufacturing,462.0,20.58,24.64,9.04,12.5,13.95,15.33,17.56,23.82,28.06,30.63,33.77,43.7,SOC10
2014,1122,Production managers and directors in construction,90.0,18.7,21.88,10.43,12.77,14.16,15.3,17.1,20.62,22.99,24.82,26.89,,SOC10
2014,1123,Production managers and directors in mining and energy,6.0,23.63,33.95,,19.44,19.64,19.72,22.61,,,,,,SOC10
2014,1131,Financial managers and directors,263.0,29.0,35.61,12.97,17.35,19.47,21.15,25.17,33.37,39.58,42.64,47.22,61.31,SOC10
2014,1132,Marketing and sales directors,141.0,33.45,39.57,16.48,21.02,23.4,25.55,30.09,37.83,42.51,45.73,49.5,62.42,SOC10
2014,1133,Purchasing managers and directors,49.0,22.77,25.69,13.72,16.67,17.89,19.27,21.37,25.16,27.59,29.82,32.17,,SOC10
2014,1134,Advertising and public relations directors,8.0,35.55,38.62,,21.1,23.86,24.85,30.16,38.33,40.36,,,,SOC10
2014,1135,Human resource managers and directors,99.0,23.65,26.89,13.69,16.61,17.65,18.88,21.15,26.02,29.41,31.28,33.95,42.78,SOC10
2014,1136,Information technology and telecommunications directors,27.0,31.0,34.24,14.7,21.74,23.49,25.45,27.93,34.62,38.33,40.92,42.85,,SOC10
2014,1139,Functional managers and directors n.e.c.,67.0,22.59,27.61,9.56,12.33,14.47,15.59,18.42,25.85,30.02,33.42,36.85,,SOC10
2014,1150,Financial institution managers and directors,87.0,27.44,37.37,12.94,16.0,17.77,19.08,22.74,33.71,39.34,44.81,52.06,,SOC10
2014,1161,Managers and directors in transport and distribution,64.0,17.38,19.4,9.99,12.08,12.79,13.62,15.64,19.15,21.37,22.59,24.79,,SOC10
2014,1162,Managers and directors in storage and warehousing,108.0,12.99,14.39,8.34,9.5,10.04,10.56,11.84,14.42,15.98,16.99,18.06,22.09,SOC10
2014,1171,Officers in armed forces,,,,,,,,,,,,,,SOC10
2014,1172,Senior police officers,14.0,27.62,29.07,24.45,25.22,25.72,26.08,26.55,28.54,29.89,30.27,31.08,,SOC10
2014,1173,"Senior officers in fire, ambulance, prison and related services",8.0,20.62,23.56,,14.99,15.76,17.02,19.52,22.72,,,,,SOC10
2014,1181,Health services and public health managers and directors,44.0,23.22,26.51,13.49,17.18,18.18,19.23,20.9,25.39,29.07,31.15,33.97,,SOC10
2014,1184,Social services managers and directors,15.0,19.18,21.23,11.69,13.83,14.97,15.81,17.37,20.79,23.28,24.06,,,SOC10
2014,1190,Managers and directors in retail and wholesale,293.0,11.65,14.35,7.43,8.28,8.73,9.24,10.36,13.17,14.87,16.15,17.54,23.19,SOC10
2014,1211,Managers and proprietors in agriculture and horticulture,13.0,11.94,14.17,7.43,8.88,8.99,10.38,11.36,13.67,16.53,16.85,,,SOC10
2014,1213,"Managers and proprietors in forestry, fishing and related services",,12.01,13.54,,,,8.93,9.64,,,,,,SOC10
2014,1221,Hotel and accommodation managers and proprietors,17.0,11.93,14.22,7.73,8.75,9.42,9.6,10.07,13.39,14.77,15.86,,,SOC10
2014,1223,Restaurant and catering establishment managers and proprietors,38.0,9.58,11.17,7.08,7.71,8.0,8.38,8.85,10.61,11.5,12.55,13.31,,SOC10
2014,1224,Publicans and managers of licensed premises,12.0,10.23,11.64,6.47,7.15,7.5,7.82,8.65,12.62,13.57,,,,SOC10
2014,1225,Leisure and sports managers,40.0,12.99,15.38,8.25,9.16,9.61,10.16,11.42,14.59,16.6,17.6,19.13,,SOC10
2014,1226,Travel agency managers and proprietors,4.0,12.92,16.49,,,9.09,9.6,10.96,,,,,,SOC10
2014,1241,Health care practice managers,13.0,16.26,18.11,9.63,12.21,12.81,13.26,15.03,18.58,19.48,20.45,,,SOC10
2014,1242,"Residential, day and domiciliary  care managers and proprietors",44.0,15.39,16.18,9.44,11.52,12.14,12.73,14.17,16.85,17.99,19.12,19.8,,SOC10
2014,1251,"Property, housing and estate managers",88.0,16.77,20.19,9.66,11.61,12.2,13.1,14.89,19.48,22.42,23.93,25.6,,SOC10
2014,1252,Garage managers and proprietors,8.0,14.12,18.34,,10.41,10.48,11.29,13.24,15.95,,,,,SOC10
2014,1253,Hairdressing and beauty salon managers and proprietors,5.0,11.35,11.57,,,9.26,9.45,10.0,12.53,,,,,SOC10
2014,1254,Shopkeepers and proprietors – wholesale and retail,7.0,,20.16,,6.99,7.24,8.43,10.51,,,,,,SOC10
2014,1255,Waste disposal and environmental services managers,8.0,17.15,18.91,,11.28,12.18,13.13,15.79,18.32,,,,,SOC10
2014,1259,Managers and proprietors in other services n.e.c.,72.0,14.38,17.58,8.04,9.31,9.97,10.85,12.51,16.8,19.61,21.56,23.7,,SOC10
2014,2111,Chemical scientists,14.0,16.27,17.14,,11.72,12.18,12.87,13.99,17.82,20.03,21.32,,,SOC10
