year,soc,desc,jobs,median,mean,p10,p20,p25,p30,p40,p60,p70,p75,p80,p90,basis
2014,1115,Chief executives and senior officials,74.0,41.65,47.45,16.25,22.92,25.56,28.97,33.69,46.31,53.11,57.63,63.6,,SOC10
2014,1116,Elected officers and representatives,4.0,,12.57,,,,7.8,8.07,,,,,,SOC10
2014,1121,Production managers and directors in manufacturing,462.0,20.57,24.58,9.12,12.54,13.96,15.34,17.7,23.83,28.07,30.7,33.8,43.7,SOC10
2014,1122,Production managers and directors in construction,90.0,18.73,21.85,10.42,12.87,14.19,15.32,17.15,20.64,23.02,24.82,26.88,,SOC10
2014,1123,Production managers and directors in mining and energy,6.0,23.78,33.73,,19.44,19.64,19.72,22.66,,,,,,SOC10
2014,1131,Financial managers and directors,263.0,29.0,35.59,12.98,17.35,19.49,21.16,25.19,33.48,39.58,42.64,47.35,61.31,SOC10
2014,1132,Marketing and sales directors,141.0,33.45,39.57,16.48,21.02,23.4,25.55,30.09,37.83,42.51,45.73,49.5,62.42,SOC10
2014,1133,Purchasing managers and directors,49.0,22.77,25.68,13.72,16.67,17.89,19.27,21.37,25.16,27.59,29.82,32.17,,SOC10
2014,1134,Advertising and public relations directors,8.0,35.55,38.62,,21.1,23.86,24.85,30.16,38.33,40.36,,,,SOC10
2014,1135,Human resource managers and directors,99.0,23.65,26.88,13.72,16.64,17.72,18.88,21.13,25.91,29.41,31.3,33.95,42.78,SOC10
2014,1136,Information technology and telecommunications directors,27.0,31.0,34.22,14.7,21.74,23.49,25.45,27.93,34.62,38.33,40.92,42.85,,SOC10
2014,1139,Functional managers and directors n.e.c.,67.0,22.75,27.58,9.56,12.44,14.47,15.59,18.43,25.85,30.02,33.42,36.85,,SOC10
2014,1150,Financial institution managers and directors,87.0,27.44,37.23,12.93,16.24,17.77,19.09,22.74,33.71,39.34,44.81,52.06,,SOC10
2014,1161,Managers and directors in transport and distribution,64.0,17.53,19.4,10.0,12.17,12.8,13.86,15.66,19.17,21.55,22.9,24.78,,SOC10
2014,1162,Managers and directors in storage and warehousing,108.0,13.05,14.4,8.35,9.52,10.07,10.59,11.85,14.48,16.04,16.99,18.06,22.18,SOC10
2014,1171,Officers in armed forces,,,,,,,,,,,,,,SOC10
2014,1172,Senior police officers,14.0,27.62,28.86,23.74,25.22,25.72,26.08,26.55,28.54,29.89,30.27,31.08,,SOC10
2014,1173,"Senior officers in fire, ambulance, prison and related services",8.0,20.62,23.48,,15.3,16.3,17.02,19.52,22.72,,,,,SOC10
2014,1181,Health services and public health managers and directors,44.0,23.22,26.45,13.49,17.18,18.16,19.23,20.93,25.58,29.07,31.15,33.97,,SOC10
2014,1184,Social services managers and directors,15.0,19.18,21.18,11.69,13.83,15.03,15.81,17.37,20.79,23.28,23.96,,,SOC10
2014,1190,Managers and directors in retail and wholesale,293.0,11.69,14.31,7.43,8.28,8.75,9.25,10.36,13.22,14.91,16.18,17.49,23.16,SOC10
2014,1211,Managers and proprietors in agriculture and horticulture,13.0,12.59,14.16,7.43,8.96,9.65,10.56,11.55,14.05,16.62,17.29,,,SOC10
2014,1213,"Managers and proprietors in forestry, fishing and related services",,12.01,13.53,,,,8.83,9.64,,,,,,SOC10
2014,1221,Hotel and accommodation managers and proprietors,17.0,11.93,14.21,7.76,8.82,9.42,9.6,10.07,13.39,14.77,15.9,,,SOC10
2014,1223,Restaurant and catering establishment managers and proprietors,38.0,9.58,11.17,7.08,7.69,8.0,8.38,8.85,10.61,11.5,12.55,13.31,,SOC10
2014,1224,Publicans and managers of licensed premises,12.0,10.23,11.64,6.47,7.15,7.5,7.82,8.65,12.62,13.57,,,,SOC10
2014,1225,Leisure and sports managers,40.0,13.0,15.36,8.34,9.14,9.66,10.24,11.42,14.57,16.52,17.58,18.67,,SOC10
2014,1226,Travel agency managers and proprietors,4.0,12.92,16.47,,,9.08,9.5,10.96,,,,,,SOC10
2014,1241,Health care practice managers,13.0,16.26,17.99,9.62,12.19,12.73,13.26,15.03,18.58,19.48,20.45,,,SOC10
2014,1242,"Residential, day and domiciliary  care managers and proprietors",44.0,15.37,16.1,9.44,11.52,12.24,12.73,14.17,16.86,17.88,19.03,19.8,,SOC10
2014,1251,"Property, housing and estate managers",88.0,16.83,20.19,9.66,11.61,12.21,13.1,14.95,19.48,22.42,23.93,25.76,,SOC10
2014,1252,Garage managers and proprietors,8.0,14.27,18.33,,10.41,10.59,11.29,13.56,15.89,,,,,SOC10
2014,1253,Hairdressing and beauty salon managers and proprietors,5.0,11.35,11.59,,,9.26,9.45,10.0,12.53,,,,,SOC10
2014,1254,Shopkeepers and proprietors – wholesale and retail,7.0,,19.96,,6.99,7.24,8.43,10.51,,,,,,SOC10
2014,1255,Waste disposal and environmental services managers,8.0,17.04,18.87,,11.2,12.18,14.09,16.15,18.43,,,,,SOC10
2014,1259,Managers and proprietors in other services n.e.c.,72.0,14.52,17.37,8.04,9.31,9.97,10.85,12.57,16.77,19.61,21.55,23.7,,SOC10
2014,2111,Chemical scientists,14.0,16.35,17.24,,11.82,12.39,12.87,14.49,17.82,20.03,21.45,,,SOC10
2014,2112,Biological scientists and biochemists,59.0,18.99,19.95,11.13,13.51,14.27,15.3,16.88,20.71,22.42,23.73,24.34,,SOC10
2014,2113,Physical scientists,16.0,19.71,24.49,12.49,14.31,15.22,15.74,17.53,20.96,,,,,SOC10
2014,2114,Social and humanities scientists,,15.74,16.38,,,,12.8,14.44,16.86,,,,,SOC10
