year,table,file,basis,n_four_digit,n_mean,n_median,n_jobs
2014,14.9a,Occupation SOC10 (4) Table 14.9a   Paid hours worked - Total 2014.xls,SOC10,369,366,360,342
2015,14.9a,Occupation SOC10 (4) Table 14.9a   Paid hours worked - Total 2015.xls,SOC10,369,367,358,334
2016,14.9a,Occupation SOC10 (4) Table 14.9a   Paid hours worked - Total 2016.xls,SOC10,369,365,351,329
2017,14.9a,Occupation SOC10 (4) Table 14.9a   Paid hours worked - Total 2017.xls,SOC10,369,363,356,329
2018,14.9a,Occupation SOC10 (4) Table 14.9a   Paid hours worked - Total 2018.xls,SOC10,369,365,354,329
2019,14.9a,Occupation SOC10 (4) Table 14.9a   Paid hours worked - Total 2019.xls,SOC10,369,363,353,329
2020,14.9a,Occupation SOC10 (4) Table 14.9a   Paid hours worked - Total 2020.xls,SOC10,369,362,350,311
2021,14.9a,Occupation SOC20 (4) Table 14.9a   Paid hours worked - Total 2021.xls,SOC20,412,407,396,357
2022,14.9a,Occupation SOC20 (4) Table 14.9a   Paid hours worked - Total 2022.xls,SOC20,412,406,361,355
2023,14.9a,Occupation SOC20 (4) Table 14.9a   Paid hours worked - Total 2023.xlsx,SOC20,412,407,392,362
