year,soc,desc,jobs,median,mean,p10,p20,p25,p30,p40,p60,p70,p75,p80,p90,basis
2014,1115,Chief executives and senior officials,74.0,35.8,35.3,32.0,35.0,35.0,,35.0,37.0,37.5,37.5,37.5,40.0,SOC10
2014,1116,Elected officers and representatives,4.0,35.0,27.9,,,,,,35.0,,,,,SOC10
2014,1121,Production managers and directors in manufacturing,462.0,37.5,36.5,23.0,35.0,36.0,36.9,37.4,38.6,40.0,40.0,40.0,43.8,SOC10
2014,1122,Production managers and directors in construction,90.0,40.0,39.0,34.7,36.8,37.0,37.4,38.0,40.0,40.5,42.3,42.5,47.1,SOC10
2014,1123,Production managers and directors in mining and energy,6.0,37.5,36.7,,35.0,35.9,36.6,37.0,37.5,39.9,,,,SOC10
2014,1131,Financial managers and directors,263.0,36.0,34.8,28.0,35.0,35.0,,35.0,37.0,37.5,,37.5,40.0,SOC10
2014,1132,Marketing and sales directors,141.0,37.5,35.5,28.1,35.0,35.0,35.6,37.0,,37.5,39.0,40.0,40.0,SOC10
2014,1133,Purchasing managers and directors,49.0,37.5,37.3,35.0,36.0,36.8,37.0,37.0,37.5,37.5,38.9,40.0,,SOC10
2014,1134,Advertising and public relations directors,8.0,35.4,34.1,,35.0,35.0,35.0,,37.4,37.5,,,,SOC10
2014,1135,Human resource managers and directors,99.0,37.0,35.5,29.5,35.0,35.0,35.0,36.2,37.4,37.5,37.5,38.0,40.0,SOC10
2014,1136,Information technology and telecommunications directors,27.0,37.5,35.1,,35.0,,35.0,37.0,37.5,37.5,37.9,38.7,,SOC10
2014,1139,Functional managers and directors n.e.c.,67.0,36.8,32.4,13.8,24.0,31.4,35.0,35.0,37.0,37.5,37.5,37.5,,SOC10
2014,1150,Financial institution managers and directors,87.0,35.0,35.0,34.9,35.0,,,35.0,,,35.0,37.0,38.9,SOC10
2014,1161,Managers and directors in transport and distribution,64.0,39.9,40.0,35.0,37.0,37.3,37.5,37.5,40.0,40.0,42.4,44.0,45.8,SOC10
2014,1162,Managers and directors in storage and warehousing,108.0,39.9,39.9,36.0,37.4,37.5,37.5,39.0,40.0,40.0,41.4,43.0,47.7,SOC10
2014,1171,Officers in armed forces,,,,,,,,,,,,,,SOC10
2014,1172,Senior police officers,14.0,40.0,40.3,39.9,,,,,,,,,,SOC10
2014,1173,"Senior officers in fire, ambulance, prison and related services",8.0,41.4,39.2,,36.6,37.2,37.5,40.3,,,,,,SOC10
2014,1181,Health services and public health managers and directors,44.0,37.5,34.9,25.4,34.5,36.0,37.0,37.5,37.5,37.5,,37.5,,SOC10
2014,1184,Social services managers and directors,15.0,37.0,36.0,34.5,35.0,35.0,36.0,36.8,,37.0,37.0,37.5,,SOC10
2014,1190,Managers and directors in retail and wholesale,293.0,39.0,38.2,32.0,36.0,36.1,37.4,37.6,39.9,40.0,40.0,41.9,45.0,SOC10
2014,1211,Managers and proprietors in agriculture and horticulture,13.0,39.4,41.1,,36.9,37.5,37.5,39.0,40.0,43.2,44.2,,,SOC10
2014,1213,"Managers and proprietors in forestry, fishing and related services",,39.8,40.6,,,,37.2,37.8,40.0,,,,,SOC10
2014,1221,Hotel and accommodation managers and proprietors,17.0,40.0,38.4,,36.5,37.5,37.9,39.1,40.0,40.3,42.2,44.3,,SOC10
2014,1223,Restaurant and catering establishment managers and proprietors,38.0,40.0,40.4,27.9,35.0,35.2,37.3,40.0,43.6,45.0,48.0,48.0,,SOC10
2014,1224,Publicans and managers of licensed premises,12.0,43.6,42.3,,39.1,39.9,40.0,40.0,45.0,47.9,,,,SOC10
2014,1225,Leisure and sports managers,40.0,38.0,36.8,29.0,35.7,37.0,37.0,37.5,39.9,40.0,40.0,40.0,,SOC10
2014,1226,Travel agency managers and proprietors,4.0,37.4,37.6,,,37.1,,,37.5,,,,,SOC10
2014,1241,Health care practice managers,13.0,36.9,33.2,20.3,25.5,29.6,30.0,33.2,37.0,37.5,37.5,,,SOC10
2014,1242,"Residential, day and domiciliary  care managers and proprietors",44.0,37.4,36.8,28.4,35.0,35.7,36.2,37.0,37.5,39.9,40.0,40.0,,SOC10
2014,1251,"Property, housing and estate managers",88.0,37.0,36.2,30.0,35.0,,35.0,37.0,37.5,38.4,39.9,40.0,42.5,SOC10
2014,1252,Garage managers and proprietors,8.0,40.0,40.3,,37.5,38.7,39.2,39.9,40.5,44.6,45.0,,,SOC10
2014,1253,Hairdressing and beauty salon managers and proprietors,5.0,39.6,36.9,,,34.0,35.8,37.4,40.0,,,,,SOC10
2014,1254,Shopkeepers and proprietors – wholesale and retail,7.0,38.9,35.6,,,28.0,33.9,37.4,39.9,40.0,41.3,,,SOC10
2014,1255,Waste disposal and environmental services managers,8.0,39.8,41.4,,37.0,,37.0,37.8,40.0,,,,,SOC10
2014,1259,Managers and proprietors in other services n.e.c.,72.0,37.5,37.5,30.0,35.0,35.9,36.8,37.4,37.5,39.7,40.0,40.0,44.8,SOC10
2014,2111,Chemical scientists,14.0,37.4,36.7,33.2,35.0,36.1,36.5,37.0,37.5,37.5,38.2,,,SOC10
2014,2112,Biological scientists and biochemists,59.0,37.5,35.5,24.0,35.0,36.4,37.0,37.5,37.5,37.5,,37.5,,SOC10
2014,2113,Physical scientists,16.0,37.5,36.8,35.1,36.3,36.9,37.0,37.0,37.5,,,37.9,,SOC10
2014,2114,Social and humanities scientists,,37.1,36.6,,,,36.8,37.0,37.5,,,,,SOC10
2014,2119,Natural and social science professionals n.e.c.,49.0,36.8,35.3,28.2,35.0,,35.0,36.1,37.0,37.4,37.5,37.5,,SOC10
2014,2121,Civil engineers,46.0,37.6,39.7,35.7,37.0,37.0,37.4,37.5,39.9,40.1,42.0,43.1,,SOC10
2014,2122,Mechanical engineers,37.0,37.5,37.7,35.0,36.9,36.9,37.0,37.4,37.5,39.0,40.0,40.0,,SOC10
2014,2123,Electrical engineers,23.0,37.5,38.8,35.2,36.9,37.0,37.0,37.5,37.5,40.0,40.0,40.8,,SOC10
2014,2124,Electronics engineers,7.0,37.6,37.8,,35.0,36.5,37.0,37.5,38.9,40.0,,,,SOC10
2014,2126,Design and development engineers,78.0,37.5,37.6,35.0,36.9,37.0,37.0,37.4,37.5,38.5,39.0,40.0,40.3,SOC10
2014,2127,Production and process engineers,41.0,37.5,38.9,36.0,37.0,37.0,37.0,37.5,38.0,39.0,39.9,40.0,,SOC10
2014,2129,Engineering professionals n.e.c.,139.0,37.5,38.1,35.3,36.9,37.0,37.0,37.0,37.5,38.9,39.6,40.0,42.1,SOC10
2014,2133,IT specialist managers,152.0,37.4,37.3,35.0,35.0,35.9,36.6,37.0,37.5,37.5,38.0,39.9,40.6,SOC10
2014,2134,IT project and programme managers,18.0,37.0,36.3,32.5,35.0,35.0,35.0,36.9,37.5,37.5,,37.7,,SOC10
2014,2135,"IT business analysts, architects and systems designers",109.0,37.5,37.3,35.0,35.0,36.1,36.9,37.0,37.5,37.6,38.9,39.9,40.1,SOC10
2014,2136,Programmers and software development professionals,180.0,37.5,37.1,35.0,36.0,37.0,37.0,37.4,,37.5,38.0,39.9,40.0,SOC10
2014,2137,Web design and development professionals,44.0,37.5,36.3,34.4,35.0,36.0,36.8,37.4,,37.5,39.0,39.9,,SOC10
2014,2139,Information technology and telecommunications professionals n.e.c.,88.0,37.5,36.9,35.0,36.0,36.9,37.0,37.4,37.5,38.9,,40.0,40.6,SOC10
2014,2141,Conservation professionals,12.0,37.0,34.3,,26.3,30.0,35.0,37.0,37.0,37.5,37.5,,,SOC10
2014,2142,Environment professionals,34.0,37.0,36.3,30.1,35.0,36.2,36.9,37.0,37.1,37.5,37.5,38.0,,SOC10
2014,2150,Research and development managers,41.0,37.5,36.6,34.6,35.0,35.0,36.2,37.0,37.5,38.0,39.0,39.9,,SOC10
2014,2211,Medical practitioners,240.0,40.0,36.1,18.5,32.0,35.2,37.4,39.8,40.0,40.0,40.0,40.0,43.8,SOC10
2014,2212,Psychologists,26.0,37.0,32.6,18.7,23.3,29.2,31.7,35.6,37.5,37.5,37.5,37.5,,SOC10
2014,2213,Pharmacists,39.0,37.5,34.9,20.3,28.3,32.0,35.0,37.5,37.6,39.8,40.0,40.1,,SOC10
2014,2214,Ophthalmic opticians,8.0,36.4,28.9,,,,,31.1,37.5,37.5,,,,SOC10
2014,2215,Dental practitioners,10.0,35.0,28.6,,,,,27.8,36.0,37.5,37.5,,,SOC10
2014,2216,Veterinarians,13.0,38.5,35.0,,24.7,27.8,31.8,37.0,40.0,40.0,40.5,,,SOC10
2014,2217,Medical radiographers,35.0,37.5,33.8,18.4,24.3,30.0,30.5,37.4,37.5,37.5,37.9,38.8,,SOC10
2014,2218,Podiatrists,6.0,37.3,31.7,,,28.3,30.0,30.4,37.5,37.5,,,,SOC10
2014,2219,Health professionals n.e.c.,26.0,37.4,32.4,18.7,23.6,28.0,30.0,35.1,37.5,37.5,37.5,37.5,,SOC10
2014,2221,Physiotherapists,51.0,37.5,31.8,16.2,22.5,24.0,28.2,36.8,37.5,37.5,37.5,37.5,,SOC10
2014,2222,Occupational therapists,31.0,37.0,31.1,18.8,22.5,22.6,25.7,33.0,37.5,37.5,37.5,37.5,,SOC10
2014,2223,Speech and language therapists,12.0,29.5,28.3,16.0,20.0,22.5,22.5,25.2,32.6,,37.5,,,SOC10
2014,2229,Therapy professionals n.e.c.,11.0,30.0,28.0,,18.8,20.6,22.5,25.7,33.6,37.4,37.5,,,SOC10
2014,2231,Nurses,838.0,37.5,31.8,15.0,22.5,24.5,28.7,33.0,37.5,37.5,37.5,37.5,39.8,SOC10
2014,2232,Midwives,48.0,32.8,31.2,20.6,23.0,24.0,26.0,30.0,37.3,,37.5,37.5,,SOC10
2014,2311,Higher education teaching professionals,168.0,35.0,29.3,7.3,18.0,22.2,29.6,35.0,36.0,36.9,37.0,37.0,37.0,SOC10
2014,2312,Further education teaching professionals,135.0,35.0,28.1,7.4,17.5,19.5,22.5,30.7,35.1,36.9,37.0,37.0,37.0,SOC10
2014,2314,Secondary education teaching professionals,437.0,32.4,28.5,16.2,24.0,24.8,26.0,29.9,32.5,32.5,32.5,33.4,36.0,SOC10
2014,2315,Primary and nursery education teaching professionals,384.0,32.2,27.3,13.4,20.0,24.0,25.0,27.5,32.4,32.5,32.5,32.5,35.0,SOC10
