year,b,se,lo,hi,p
2014,-0.04296274752951932,0.016732245667378708,-0.07586615182684198,-0.010059343232196656,0.01063504041828267
2015,0.0,0.0,0.0,0.0,
2016,0.04987563194508093,0.014479347448527814,0.021402477024271397,0.07834878686589046,0.000638194684863258
2017,0.07230055832643685,0.01992651248748494,0.03311573462464138,0.11148538202823233,0.00032575966812675716
2018,0.09985549654208303,0.023088610839634885,0.05445251165756409,0.14525848142660197,1.970570823939255e-05
2019,0.15139608979950442,0.023928643916633706,0.10434120782328168,0.19845097177572715,7.303957438864472e-10
2020,0.12795821654522402,0.029839902310819157,0.06927904164883303,0.186637391441615,2.307638412823998e-05
2021,0.42501157176547116,0.08177231624727711,0.2642090330447857,0.5858141104861566,3.3646900510220235e-07
2022,0.49458125207395565,0.08076839653815139,0.3357528880533115,0.6534096160945998,2.362193107785515e-09
2023,0.5205934754743652,0.08614372535743882,0.3511947062081846,0.6899922447405458,3.7197764868324157e-09
